Date,Open,High,Low,Close,Adj Close,Volume
2020-05-04,83.330002,84.589996,81.839996,83.040001,82.589424,82400
2020-05-05,83.559998,84.529999,83.089996,83.089996,82.639145,47100
2020-05-06,83.839996,84.538002,82.730003,83.120003,82.668991,54700
2020-05-07,83.230003,84.510002,82.419998,83.250000,82.798279,183600
2020-05-08,84.870003,86.180000,84.637001,85.010002,84.548737,85000
2020-05-11,83.330002,83.820000,82.790001,83.120003,82.668991,56500
2020-05-12,83.790001,83.790001,79.830002,80.139999,79.705154,203200
2020-05-13,79.500000,80.139999,78.010002,78.699997,78.272964,48500
2020-05-14,77.989998,79.900002,76.300003,79.750000,79.317268,51600
2020-05-15,78.080002,81.805000,78.080002,81.230003,80.789246,49100
2020-05-18,83.459999,86.250000,80.830002,82.470001,82.022507,28300
2020-05-19,83.733002,85.570000,82.510002,84.910004,84.449272,43500
2020-05-20,85.040001,86.820000,85.040001,86.699997,86.229553,57400
2020-05-21,86.120003,88.419998,85.779999,88.080002,87.602066,40900
2020-05-22,87.959999,89.239998,86.699997,87.250000,86.776573,33900
2020-05-26,90.400002,94.849998,90.400002,94.139999,93.629181,77500
2020-05-27,95.339996,95.720001,91.425003,91.889999,91.391396,113000
2020-05-28,92.559998,93.870003,91.260002,91.599998,91.102966,62400
2020-05-29,91.949997,93.339996,90.500000,93.330002,92.823586,132000
2020-06-01,92.879997,95.320000,92.879997,93.959999,93.450172,80500
2020-06-02,93.900002,95.610001,93.900002,94.449997,93.937508,83600
2020-06-03,95.739998,98.730003,94.620003,98.419998,97.885956,63000
2020-06-04,97.879997,101.419998,97.750000,101.419998,100.869690,45300
2020-06-05,104.120003,104.120003,99.260002,100.900002,100.352516,65600
2020-06-08,101.000000,101.949997,100.440002,101.949997,101.396812,28000
2020-06-09,100.480003,103.260002,100.230003,102.440002,101.884155,68600
2020-06-10,101.269997,102.209999,99.709999,101.650002,101.098442,52700
2020-06-11,99.580002,99.919998,96.820000,97.239998,96.712357,62000
2020-06-12,101.139999,101.139999,97.379997,98.669998,98.134605,99600
2020-06-15,97.250000,99.644997,96.570000,98.510002,97.975479,54500
2020-06-16,101.209999,101.470001,98.504997,100.389999,99.845276,79600
2020-06-17,101.467003,101.800003,99.980003,101.349998,100.800064,57800
2020-06-18,100.769997,102.820000,100.000000,101.900002,101.347084,40900
2020-06-19,102.739998,103.209999,100.279999,101.059998,100.511635,57300
2020-06-22,99.900002,102.309998,99.870003,101.269997,100.720497,41400
2020-06-23,101.430000,102.349998,99.330002,99.919998,99.377823,56900
2020-06-24,99.669998,100.199997,96.949997,99.739998,99.198799,67700
2020-06-25,99.110001,99.985001,96.714996,98.459999,97.925751,47600
2020-06-26,97.610001,98.250000,96.360001,96.360001,95.837135,33400
2020-06-29,96.250000,99.360001,95.750000,99.349998,98.980400,58800
2020-06-30,99.290001,101.410004,99.250000,100.750000,100.375198,37900
2020-07-01,101.296997,102.199997,99.839996,100.320000,99.946800,22100
2020-07-02,101.349998,104.980003,98.480003,99.650002,99.279289,32700
2020-07-06,100.680000,104.099998,100.629997,102.820000,102.437492,88000
2020-07-07,102.599998,102.779999,101.470001,102.040001,101.660393,51700
2020-07-08,101.940002,102.629997,100.379997,102.080002,101.700249,27200
2020-07-09,101.430000,102.500000,100.769997,102.040001,101.660393,141700
2020-07-10,102.730003,102.730003,100.330002,101.339996,100.963005,30500
2020-07-13,102.529999,102.529999,100.669998,100.910004,100.534607,32500
2020-07-14,101.339996,101.800003,98.660004,100.480003,100.106201,45300
2020-07-15,100.639999,106.160004,100.639999,105.010002,104.619347,93400
2020-07-16,105.440002,105.919998,101.540001,101.620003,101.241959,37800
2020-07-17,101.779999,104.800003,101.779999,103.989998,103.603134,53400
2020-07-20,104.110001,105.629997,103.639999,105.470001,105.077637,27200
2020-07-21,107.870003,107.949997,103.730003,103.809998,103.423813,29900
2020-07-22,102.629997,106.309998,102.629997,106.139999,105.745148,89300
2020-07-23,108.000000,115.635002,107.949997,112.959999,112.539764,56400
2020-07-24,113.779999,116.620003,112.110001,115.910004,115.478806,125000
2020-07-27,116.709999,118.019997,114.099998,117.269997,116.833733,121500
2020-07-28,116.070000,119.379997,115.349998,116.949997,116.514931,97900
2020-07-29,117.559998,120.419998,116.269997,118.000000,117.561028,72900
2020-07-30,117.709999,119.800003,116.599998,118.900002,118.457680,89300
2020-07-31,118.120003,120.430000,117.800003,119.550003,119.105255,50000
2020-08-03,120.620003,120.620003,117.239998,118.220001,117.780212,44800
2020-08-04,119.070000,120.570000,117.980003,119.660004,119.214851,51300
2020-08-05,119.769997,120.989998,119.540001,120.230003,119.782730,50000
2020-08-06,120.324997,121.050003,118.900002,119.809998,119.364288,41700
2020-08-07,119.800003,119.800003,116.260002,116.430000,115.996864,76300
2020-08-10,117.410004,118.000000,115.199997,115.860001,115.428986,50100
2020-08-11,116.730003,116.980003,114.709999,114.980003,114.552261,55500
2020-08-12,115.620003,116.870003,113.910004,114.070000,113.645645,77200
2020-08-13,114.500000,115.949997,114.339996,115.550003,115.120140,63500
2020-08-14,115.209999,115.510002,112.680000,112.940002,112.519859,119500
2020-08-17,112.709999,116.220001,112.709999,115.559998,115.130104,138600
2020-08-18,116.269997,117.510002,115.209999,117.440002,117.003113,78800
2020-08-19,118.489998,119.750000,117.379997,119.699997,119.254692,44800
2020-08-20,119.269997,124.290001,119.010002,122.970001,122.512535,100900
2020-08-21,123.330002,124.040001,122.010002,123.980003,123.518776,25400
2020-08-24,124.690002,125.419998,122.500000,122.860001,122.402946,129800
2020-08-25,121.519997,123.760002,121.519997,123.300003,122.841316,48300
2020-08-26,122.300003,125.150002,122.300003,124.849998,124.385544,91200
2020-08-27,124.610001,124.900002,123.570000,123.980003,123.518776,107800
2020-08-28,124.589996,125.580002,123.959999,125.260002,124.794022,26400
2020-08-31,125.279999,125.559998,123.889999,125.129997,124.664505,44200
2020-09-01,125.750000,128.000000,124.105003,127.480003,127.005760,84300
2020-09-02,128.899994,130.279999,126.879997,129.649994,129.167679,58500
2020-09-03,128.830002,129.440002,123.790001,125.760002,125.292160,47600
2020-09-04,126.000000,126.000000,122.639999,125.099998,124.634613,79200
2020-09-08,124.400002,125.139999,122.730003,124.699997,124.236099,264500
2020-09-09,125.809998,129.740005,125.610001,129.179993,128.699432,79300
2020-09-10,130.059998,131.330002,127.580002,128.830002,128.350739,89000
2020-09-11,128.279999,130.490005,127.769997,128.800003,128.320847,56600
2020-09-14,128.059998,130.070007,127.550003,128.039993,127.563675,44900
2020-09-15,129.850006,134.710007,129.660004,133.789993,133.292267,128600
2020-09-16,134.449997,134.630005,129.149994,130.250000,129.765457,41100
2020-09-17,129.070007,129.169998,127.004997,128.100006,127.623459,57900
2020-09-18,128.710007,128.740005,125.230003,125.660004,125.192528,33600
2020-09-21,124.239998,124.430000,121.540001,123.330002,122.871201,58500
2020-09-22,123.559998,125.970001,123.559998,124.589996,124.126503,43900
2020-09-23,124.690002,126.169998,122.919998,123.300003,122.841316,32000
2020-09-24,122.650002,126.169998,122.650002,125.650002,125.182571,45700
2020-09-25,125.440002,128.225006,125.434998,127.910004,127.434158,34000
